Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

429/1000: r = 0.78, accuracy = 88.57%
430/1000: r = 0.77, accuracy = 88.57%
431/1000: r = 0.81, accuracy = 88.57%
432/1000: r = 0.74, accuracy = 88.57%
433/1000: r = 0.72, accuracy = 86.67%
434/1000: r = 0.77, accuracy = 88.57%
435/1000: r = 0.72, accuracy = 88.57%
436/1000: r = 0.73, accuracy = 88.57%
437/1000: r = 0.68, accuracy = 87.62%
438/1000: r = 0.69, accuracy = 87.62%
439/1000: r = 0.70, accuracy = 89.52%
440/1000: r = 0.77, accuracy = 86.67%
441/1000: r = 0.70, accuracy = 89.52%
442/1000: r = 0.80, accuracy = 89.52%
443/1000: r = 0.74, accuracy = 90.48%
444/1000: r = 0.73, accuracy = 90.48%
445/1000: r = 0.75, accuracy = 90.48%
446/1000: r = 0.74, accuracy = 90.48%
447/1000: r = 0.75, accuracy = 90.48%
448/1000: r = 0.66, accuracy = 86.67%
449/1000: r = 0.72, accuracy = 86.67%
450/1000: r = 0.73, accuracy = 86.67%
451/1000: r = 0.72, accuracy = 86.67%
452/1000: r = 0.66, accuracy = 86.67%
453/1000: r = 0.71, accuracy = 87.62%
454/1000: r = 0.71, accuracy = 87.62%
455/1000: r = 0.68, accuracy = 87.62%
456/1000: r = 0.71, accuracy = 85.71%
457/1000: r = 0.75, accuracy = 85.71%
458/1000: r = 0.73, accuracy = 85.71%
459/1000: r = 0.69, accuracy = 84.76%
460/1000: r = 0.65, accuracy = 85.71%
461/1000: r = 0.75, accuracy = 84.76%
462/1000: r = 0.62, accuracy = 84.76%
463/1000: r = 0.67, accuracy = 83.81%
464/1000: r = 0.75, accuracy = 85.71%
465/1000: r = 0.66, accuracy = 85.71%
466/1000: r = 0.74, accuracy = 85.71%
467/1000: r = 0.66, accuracy = 84.76%
468/1000: r = 0.68, accuracy = 84.76%
469/1000: r = 0.72, accuracy = 84.76%
470/1000: r = 0.75, accuracy = 84.76%
471/1000: r = 0.69, accuracy = 84.76%
472/1000: r = 0.69, accuracy = 82.86%
473/1000: r = 0.74, accuracy = 87.62%
474/1000: r = 0.76, accuracy = 87.62%
475/1000: r = 0.70, accuracy = 86.67%
476/1000: r = 0.69, accuracy = 86.67%
477/1000: r = 0.71, accuracy = 86.67%
478/1000: r = 0.71, accuracy = 86.67%
479/1000: r = 0.77, accuracy = 87.62%
480/1000: r = 0.76, accuracy = 87.62%
481/1000: r = 0.80, accuracy = 87.62%
482/1000: r = 0.73, accuracy = 87.62%
483/1000: r = 0.70, accuracy = 84.76%
484/1000: r = 0.73, accuracy = 84.76%
485/1000: r = 0.69, accuracy = 84.76%
486/1000: r = 0.70, accuracy = 85.71%
487/1000: r = 0.65, accuracy = 84.76%
488/1000: r = 0.66, accuracy = 84.76%
489/1000: r = 0.65, accuracy = 84.76%
490/1000: r = 0.76, accuracy = 84.76%
491/1000: r = 0.65, accuracy = 84.76%
492/1000: r = 0.75, accuracy = 84.76%
493/1000: r = 0.68, accuracy = 84.76%
494/1000: r = 0.68, accuracy = 84.76%
495/1000: r = 0.70, accuracy = 84.76%
496/1000: r = 0.69, accuracy = 84.76%
497/1000: r = 0.70, accuracy = 84.76%
498/1000: r = 0.64, accuracy = 84.76%
499/1000: r = 0.71, accuracy = 84.76%
